epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
62,41464,1.24076,0.72865,0.01954,0.89007,0.84144,0.90922,0.7197,0.78881,0.47637,0.02392,0.0223494,0.00744981,0.0223494,0.00744981,0.0223494,0.00744981,0.0223494,0.00744981
63,42132.5,1.22701,0.7162,0.01932,0.90746,0.83977,0.90784,0.71552,0.79861,0.47034,0.02421,0.0221217,0.00737388,0.0221217,0.00737388,0.0221217,0.00737388,0.0221217,0.00737388
64,42795.1,1.22232,0.71986,0.01904,0.89456,0.84303,0.90911,0.72019,0.78339,0.46592,0.02362,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
65,43462.5,1.22164,0.72371,0.01922,0.88539,0.84388,0.90005,0.71786,0.78015,0.46134,0.02369,0.0216598,0.00721994,0.0216598,0.00721994,0.0216598,0.00721994,0.0216598,0.00721994
66,44127.9,1.22186,0.71538,0.01898,0.86926,0.85877,0.90377,0.71661,0.7857,0.4705,0.02386,0.0214259,0.00714196,0.0214259,0.00714196,0.0214259,0.00714196,0.0214259,0.00714196
67,44795.9,1.22171,0.71868,0.01908,0.88581,0.84536,0.90855,0.72027,0.77827,0.47597,0.02346,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335,0.02119,0.00706335
68,45460.8,1.22646,0.73038,0.01924,0.89954,0.84186,0.90995,0.72264,0.77478,0.45867,0.0233,0.0209524,0.00698412,0.0209524,0.00698412,0.0209524,0.00698412,0.0209524,0.00698412
69,46129.5,1.23047,0.71429,0.01958,0.88482,0.84315,0.9031,0.70832,0.80291,0.46494,0.02454,0.0207129,0.0069043,0.0207129,0.0069043,0.0207129,0.0069043,0.0207129,0.0069043
70,46794.4,1.21967,0.70244,0.01897,0.89007,0.84448,0.90855,0.71528,0.78936,0.46183,0.02413,0.0204718,0.00682392,0.0204718,0.00682392,0.0204718,0.00682392,0.0204718,0.00682392
71,47459.6,1.21323,0.72291,0.01911,0.89638,0.83017,0.90903,0.72214,0.78476,0.47446,0.02385,0.020229,0.006743,0.020229,0.006743,0.020229,0.006743,0.020229,0.006743
72,48127.9,1.21264,0.71785,0.01898,0.86747,0.86389,0.91078,0.72447,0.76842,0.48809,0.02316,0.0199847,0.00666156,0.0199847,0.00666156,0.0199847,0.00666156,0.0199847,0.00666156
